id,codigo,jurisdiccion,localidad,nombre,pase_descripcion,tsal
5d5c1f3fa1e35c0009a52f7c,uaylaboral,Gualeguay,Gualeguay,Juzgado Laboral,PASE DIRECTO - GUALEGUAY JUZGADO LABORAL .-,17&KJGzXUj
5e09e485a564b5000a89742a,uayferia,Gualeguay,Gualeguay,Juzgado de Feria,PASE DIRECTO - GUALEGUAY FERIA JUDICIAL .-,17&KJHADLt
5d570243850c0000098bb91a,guaciv01,Gualeguaychú,Gualeguaychú,Juzgado Civil y Comercial 1,PASE DIRECTO - GUALEGUAYCHU JUZGADO CIVIL Y COMERCIAL N°1 .-,17&KJ10Hc9
5d57024a850c0000098c02e9,gualab01,Gualeguaychú,Gualeguaychú,Juzgado Laboral 01,PASE DIRECTO - GUALEGUAYCHU JUZGADO DEL TRABAJO N°1 .-,17&KJlxirp
5d57024f850c0000098c1f9b,guaejepen,Gualeguaychú,Gualeguaychú,Juzgado de Ejecución de Penas,PASE DIRECTO - GUALEGUAYCHU JDO DE EJECUCION DE PENAS Y MEDIDAS DE SEGURIDAD .-,17&KJrW33R
5d5702f7850c00000991dca1,guaciv02,Gualeguaychú,Gualeguaychú,Juzgado Civil y Comercial 2,PASE DIRECTO - GUALEGUAYCHU JUZGADO CIVIL Y COMERCIAL N°2 .-,17&KJJgibj
5d5702f7850c00000991dca5,gualab02,Gualeguaychú,Gualeguaychú,Juzgado Laboral 02,PASE DIRECTO - GUALEGUAYCHU JUZGADO DEL TRABAJO N°2 .-,17&KJ1nBDd
5d5702f7850c00000991dcd4,guaoga,Gualeguaychú,Gualeguaychú,Oficina de Gestión de Audiencia - OGA,PASE DIRECTO - GUALEGUAYCHU OGA .-,17&KJTPew3
5d5703fa850c0000099a7db6,guaciv03,Gualeguaychú,Gualeguaychú,Juzgado Civil y Comercial 3,PASE DIRECTO - GUALEGUAYCHU JUZGADO CIVIL Y COMERCIAL N°3 .-,17&KJXFoLX
5d5703fe850c0000099a9832,gualab03,Gualeguaychú,Gualeguaychú,Juzgado Laboral 03,PASE DIRECTO - GUALEGUAYCHU JUZGADO DEL TRABAJO N°3 .-,17&KJ31lqk
5d5705f1850c000009aa89cd,guafam,Gualeguaychú,Gualeguaychú,Juzgados de Familia Nº1 y Nº 2,,
5d57e7b1850c00000943fdc9,guapaz01,Gualeguaychú,Gualeguaychú,Juzgado Paz,PASE DIRECTO - GUALEGUAYCHU JUZGADO DE PAZ .-,17&KJBjTHr
5d57eb39850c0000094a2831,guacamape,Gualeguaychú,Gualeguaychú,Cámara de Apleaciones - Sala Civil,PASE DIRECTO - GUALEGUAYCHU CAMARA DE APELACIONES - SALA CIVIL Y COMERCIAL .-,17&KJAZM1U
5d57ebda850c0000094ac1ec,guaferia,Gualeguaychú,Gualeguaychú,Feria,PASE DIRECTO - GUALEGUAYCHU FERIA JUDICIAL .-,17&KJfLYoT
5d57f13d850c0000095c4c21,guacamapelab,Gualeguaychú,Gualeguaychú,Cámara de Apleaciones - Sala Laboral,PASE DIRECTO - GUALEGUAYCHU CAMARA DE APELACIONES - SALA LABORAL .-,17&KJYZo68
60197dd0b3966400085e8755,parhazoaz2,Paraná,Hasenkamp,Juzgado de Paz de Hasenkamp,,
60197dd2f6d3770009680fe9,parherpaz2,Paraná,Hernandarias,Juzgado de Paz de Hernandarias,,
60197dc7b3966400085e8753,nogherpaz2,Nogoyá,Hernandez,Juzgado de Paz de Hernandez,,
60197dc241c13900074046b0,ibiibipaz3,Islas del Ibicuy,Ibicuy,Juzgado de Paz de Ibicuy,,
5d570255850c0000098c3f6e,pazcorr01,La Paz,La Paz,Tribunal de juicio y apelaciones,PASE DIRECTO - LA PAZ TRIBUNAL DE JUICIO Y APELACIONES .-,17&KJhDiLT
5d5702a3850c0000098e9572,pazcyc01,La Paz,La Paz,Juzgado Civil Comercial y Laboral 1,PASE DIRECTO - LA PAZ JUZGADO CIVIL y COMERCIAL N°1 (CON COMPETENCIA LABORAL) .-,17&KJHnJd&
5d570359850c000009941ea8,pazcyc02,La Paz,La Paz,Juzgado Civil Comercial y Laboral 2,PASE DIRECTO - LA PAZ JUZGADO CIVIL y COMERCIAL N°2 (CON COMPETENCIA LABORAL) .-,17&KJLsQL0
5d57055c850c000009a5afda,pazdef01,La Paz,La Paz,Ministerio Público de la Defensa,PASE DIRECTO - LA PAZ DEFENSORIA .-,17&KJsRU4b
5d575162850c000009458d20,pazfis01,La Paz,La Paz,Unidad Fiscal,PASE DIRECTO - LA PAZ FISCALIA .-,17&KJmnNyP
5d57541b850c00000946e926,pazflia01,La Paz,La Paz,Juzgado de Familia y Penal de Menores,PASE DIRECTO - LA PAZ JUZGADO DE FAMILIA Y PENAL DE NIÑOS Y ADOLECENTES .-,17&KJHzFxf
5d57553a850c0000094aea13,pazins01,La Paz,La Paz,Juzgado de Garantías y Transición,,
5d57576a850c0000094c1b86,pazins02,La Paz,La Paz,Transición (ex jdo de instrucción secretaría 2),,
5d575961850c0000094d381c,pazlab01,La Paz,La Paz,Laboral Residual,,
5d575979850c0000094d4129,pazoga,La Paz,La Paz,OGA,PASE DIRECTO - LA PAZ OGA .-,17&KJjicsr
5d5759e0850c0000094d7b7f,pazpaz01,La Paz,La Paz,Juzgado de Paz,PASE DIRECTO - LA PAZ JUZGADO DE PAZ .-,17&KJCO8x5
5d575bf3850c0000094f9a00,pazprob01,La Paz,La Paz,Oficina de Probation,PASE DIRECTO - LA PAZ PROBATION .-,17&KJ7BYDT
5e09e4eda564b5000a8991b9,pazferia,La Paz,La Paz,Juzgado de Feria,PASE DIRECTO - LA PAZ FERIA JUDICIAL .-,17&KJB778g
